dataset,dataset_label,model_label,train_size,raw_context_f1,support_first_f1,support_gain_f1,raw_tokens,support_tokens
hotpotqa,HotpotQA,Llama-3.2-3B,4000,0.71893,0.732726,0.013796,1427.71,1427.71
hotpotqa,HotpotQA,Qwen2.5-Coder-7B,1000,0.695972,0.748221,0.052249,1484.26,1484.26
hotpotqa,HotpotQA,Mistral-7B,1000,0.684464,0.765102,0.080638,1611.29,1611.29
hotpotqa,HotpotQA,Llama-3.1-8B,1000,0.720877,0.759925,0.039048,1427.71,1427.71
hotpotqa,HotpotQA,Gemma-2-9B,1000,0.713403,0.775631,0.062228,1434.02,1434.02
hotpotqa,HotpotQA,Qwen2.5-Coder-14B,4000,0.779705,0.806075,0.02637,1484.26,1484.26
2wiki,2WikiMultiHopQA,Llama-3.2-1B,4000,0.474984,0.52286,0.047876,1007.97,1007.97
2wiki,2WikiMultiHopQA,Llama-3.2-3B,4000,0.657198,0.73196,0.074762,1007.97,1007.97
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-7B,1000,0.61773,0.650146,0.032416,1059.25,1059.25
2wiki,2WikiMultiHopQA,Mistral-7B,1000,0.585246,0.700394,0.115148,1130.95,1130.95
2wiki,2WikiMultiHopQA,Llama-3.1-8B,1000,0.582368,0.69727,0.114902,1007.97,1007.97
2wiki,2WikiMultiHopQA,Gemma-2-9B,1000,0.665444,0.765423,0.099979,1008.64,1008.64
2wiki,2WikiMultiHopQA,Qwen2.5-Coder-14B,4000,0.78249,0.821704,0.039214,1059.25,1059.25
musique,MuSiQue,Llama-3.2-1B,4000,0.299473,0.458795,0.159322,2379.49,2379.49
musique,MuSiQue,Llama-3.2-3B,4000,0.506597,0.586953,0.080356,2379.49,2379.49
musique,MuSiQue,Qwen2.5-Coder-7B,1000,0.433929,0.560099,0.12617,2473.21,2473.21
musique,MuSiQue,Mistral-7B,1000,0.40404,0.505961,0.101921,2649.96,2649.96
musique,MuSiQue,Llama-3.1-8B,1000,0.50478,0.619419,0.114639,2379.49,2379.49
musique,MuSiQue,Qwen2.5-Coder-14B,4000,0.580845,0.650864,0.070019,2473.21,2473.21
