dataset,train_size,interface,em,f1,answer_contained,avg_prompt_tokens,truncated_count,elapsed_minutes,summary_path
2wiki,2000,raw_bm25_order,0.6633333333333333,0.7296402116402116,0.7066666666666667,1059.25,0,21.643363749980928,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_bm25_order_summary.json
2wiki,2000,raw_bm25_top5docs,0.5666666666666667,0.6286568061568062,0.6133333333333333,634.7333333333333,0,24.788770735263824,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_bm25_top5docs_summary.json
2wiki,2000,raw_context,0.6266666666666667,0.6938095238095238,0.6866666666666666,1059.25,0,21.654714449246725,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_context_summary.json
2wiki,2000,raw_crossenc_order,0.6766666666666666,0.7357645502645502,0.72,1059.25,0,21.627896551291148,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_order_summary.json
2wiki,2000,raw_crossenc_top3docs,0.5133333333333333,0.5918148148148148,0.5566666666666666,429.18333333333334,0,20.400737762451172,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top3docs_summary.json
2wiki,2000,raw_crossenc_top5docs,0.5766666666666667,0.6457142857142857,0.6166666666666667,623.8,0,23.78723487059275,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
2wiki,2000,raw_support_first,0.7066666666666667,0.7723439153439153,0.7533333333333333,1059.2466666666667,0,25.127083412806194,experiments/outputs/rank_sweep/2wiki_qwen14b_r8_n2000_raw_support_first_summary.json
hotpotqa,2000,raw_context,0.59,0.7479853294853295,0.6366666666666667,1484.2633333333333,1,52.73693399031957,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_context_summary.json
hotpotqa,2000,raw_ftcrossenc_top5docs,0.61,0.7547126022126022,0.6533333333333333,685.4433333333334,0,19.40332951148351,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_ftcrossenc_top5docs_summary.json
hotpotqa,2000,raw_support_first,0.6533333333333333,0.8011067821067821,0.69,1484.2633333333333,1,46.19426201581955,experiments/outputs/rank_sweep/hotpotqa_qwen14b_r8_n2000_raw_support_first_summary.json
musique,2000,raw_bm25_order,0.45,0.5389925434989373,0.47,2473.2266666666665,37,51.20100777546565,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_bm25_order_summary.json
musique,2000,raw_bm25_top5docs,0.28,0.3770406940553999,0.3,685.5766666666667,0,30.16916891733805,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_bm25_top5docs_summary.json
musique,2000,raw_context,0.4633333333333333,0.5621854681266446,0.48333333333333334,2473.2066666666665,37,56.176490346590676,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_context_summary.json
musique,2000,raw_crossenc_order,0.42,0.5218936723407311,0.44,2473.22,37,51.21712830066681,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_order_summary.json
musique,2000,raw_crossenc_top3docs,0.2733333333333333,0.3793435861524097,0.29,447.54333333333335,0,21.812880599498747,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_top3docs_summary.json
musique,2000,raw_crossenc_top5docs,0.33,0.43741830065359477,0.3433333333333333,699.5833333333334,0,30.18489137887955,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_crossenc_top5docs_summary.json
musique,2000,raw_support_first,0.5066666666666667,0.6167253953491805,0.54,2473.2066666666665,37,67.48532443841299,experiments/outputs/rank_sweep/musique_qwen14b_r8_n2000_raw_support_first_summary.json
